,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.106,0.669,-1.08,1.93,0.006,0.004,12297,12895,1
beta[1],0.123,0.633,-0.901,1.899,0.006,0.004,10240,9062,1
beta[2],0.068,0.584,-1.079,1.591,0.006,0.004,9730,11209,1
beta[3],0.072,0.733,-1.415,1.961,0.007,0.005,9558,8467,1
beta[4],-0.079,0.593,-1.666,1.02,0.006,0.004,8965,8977,1
beta[5],0.072,0.546,-1.072,1.454,0.005,0.003,10849,10887,1
beta[6],-0.102,0.799,-2.028,1.502,0.008,0.005,10301,10414,1
beta[7],-0.007,0.595,-1.416,1.346,0.005,0.004,10948,11061,1
beta[8],-0.01,0.518,-1.24,1.163,0.004,0.003,11929,10223,1
beta[9],-0.011,0.758,-1.84,1.619,0.007,0.005,10823,11704,1
beta[10],-0.034,0.824,-1.84,1.892,0.007,0.005,11558,10274,1
beta_raw[0],0.107,1.89,-3.73,3.587,0.02,0.017,8884,7872,1
beta_raw[1],0.137,1.899,-3.873,3.48,0.02,0.015,9847,4490,1
beta_raw[2],0.1,1.916,-3.885,3.65,0.02,0.015,9222,7172,1
beta_raw[3],0.024,1.941,-3.817,3.628,0.021,0.018,8689,6893,1
beta_raw[4],-0.081,1.888,-3.532,3.773,0.02,0.014,8894,8274,1
beta_raw[5],0.059,1.867,-3.73,3.594,0.019,0.014,9435,8998,1
beta_raw[6],-0.104,1.939,-3.679,3.661,0.021,0.018,8525,8085,1
beta_raw[7],-0.018,1.905,-3.777,3.705,0.021,0.017,8539,8089,1
beta_raw[8],-0.026,1.9,-3.789,3.688,0.02,0.015,8880,6707,1
beta_raw[9],-0.008,1.897,-3.567,3.77,0.02,0.015,9225,7596,1
beta_raw[10],-0.032,1.915,-3.639,3.71,0.019,0.015,10323,8974,1
ind[0],0.329,0.47,0,1,0.005,0.004,8601,8601,1
ind[1],0.313,0.464,0,1,0.005,0.003,8873,8873,1
ind[2],0.308,0.462,0,1,0.005,0.003,8977,8977,1
ind[3],0.342,0.474,0,1,0.005,0.003,10030,10030,1
ind[4],0.305,0.46,0,1,0.005,0.003,9042,9042,1
ind[5],0.296,0.456,0,1,0.005,0.004,7704,7704,1
ind[6],0.355,0.479,0,1,0.005,0.004,9296,9296,1
ind[7],0.304,0.46,0,1,0.005,0.003,9665,9665,1
ind[8],0.287,0.452,0,1,0.005,0.003,8748,8748,1
ind[9],0.346,0.476,0,1,0.004,0.003,11294,11294,1
ind[10],0.361,0.48,0,1,0.005,0.004,8802,8802,1
mu[0],0.371,1.695,-2.942,3.736,0.015,0.011,11896,13269,1
mu[1],0.263,2.804,-5.372,6.559,0.025,0.018,11643,11212,1
mu[2],-0.033,1.437,-3.044,2.712,0.012,0.009,12516,13846,1
mu[3],0.361,1.267,-2.09,2.929,0.011,0.008,12009,11604,1
mu[4],-0.641,2.253,-5.231,3.66,0.02,0.014,12725,14625,1
mu[5],-0.199,1.086,-2.337,1.92,0.009,0.006,14426,14046,1
mu[6],-0.283,0.845,-1.949,1.333,0.007,0.005,14199,15866,1
mu[7],-0.486,1.412,-3.479,2.09,0.013,0.009,11810,10274,1
mu[8],-0.955,2.798,-7.05,4.054,0.026,0.018,11407,12123,1
mu[9],-0.198,1.662,-3.73,2.887,0.014,0.01,12626,15447,1
mu[10],-0.145,1.762,-3.789,3.421,0.015,0.011,12198,11563,1
mu[11],-1.308,5.494,-12.907,8.97,0.047,0.033,13120,16066,1
mu[12],0.256,1.041,-1.732,2.296,0.009,0.006,12724,14451,1
mu[13],-0.301,0.896,-2.093,1.368,0.008,0.005,13204,14868,1
mu[14],0.162,0.693,-1.202,1.515,0.006,0.004,12071,13978,1
mu[15],0.262,0.973,-1.491,2.286,0.009,0.006,12072,13415,1
mu[16],0.156,1.265,-2.533,3.055,0.011,0.007,11890,12362,1
