number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood,system_attrs_auto:sampler
0,-3.289916851354174,1.0,1.0,0.1,2.25,COMPLETE,2025-01-27 16:35:07.303186,2025-01-27 16:35:54.808795,0 days 00:00:47.505609,-3.289916851354174,RandomSampler
1,-3.3081473488746793,3.25,0.4,0.5,4.0,COMPLETE,2025-01-27 16:35:55.316871,2025-01-27 16:36:41.391185,0 days 00:00:46.074314,-3.3081473488746793,GPSampler
2,-3.3118417860397975,4.25,0.7000000000000001,0.5,2.5,COMPLETE,2025-01-27 16:36:41.830267,2025-01-27 16:37:24.745214,0 days 00:00:42.914947,-3.3118417860397975,GPSampler
3,-3.308567321609536,4.75,0.5,0.5,4.25,COMPLETE,2025-01-27 16:37:25.196188,2025-01-27 16:38:12.658388,0 days 00:00:47.462200,-3.308567321609536,GPSampler
4,-3.292804617834547,1.75,0.9,0.2,2.25,COMPLETE,2025-01-27 16:38:14.153798,2025-01-27 16:38:57.007922,0 days 00:00:42.854124,-3.292804617834547,GPSampler
5,-3.312901416779831,1.25,0.2,0.5,2.25,COMPLETE,2025-01-27 16:38:57.480509,2025-01-27 16:39:45.464610,0 days 00:00:47.984101,-3.312901416779831,GPSampler
6,-3.2987676121072695,4.5,0.4,0.30000000000000004,1.0,COMPLETE,2025-01-27 16:39:45.950250,2025-01-27 16:40:22.481200,0 days 00:00:36.530950,-3.2987676121072695,GPSampler
7,-3.3062045223523717,2.25,0.2,0.4,2.0,COMPLETE,2025-01-27 16:40:22.962538,2025-01-27 16:41:03.733267,0 days 00:00:40.770729,-3.3062045223523717,GPSampler
8,-3.294348758362732,1.5,0.30000000000000004,0.30000000000000004,4.0,COMPLETE,2025-01-27 16:41:04.191243,2025-01-27 16:41:50.838587,0 days 00:00:46.647344,-3.294348758362732,GPSampler
9,-3.289207467440465,2.25,0.9,0.1,1.75,COMPLETE,2025-01-27 16:41:51.296580,2025-01-27 16:42:24.708693,0 days 00:00:33.412113,-3.289207467440465,GPSampler
10,-3.3054044572202796,1.0,0.2,0.5,1.0,COMPLETE,2025-01-27 16:42:25.181415,2025-01-27 16:43:04.194661,0 days 00:00:39.013246,-3.3054044572202796,GPSampler
11,-3.3196023568922186,5.0,0.1,0.5,2.5,COMPLETE,2025-01-27 16:43:04.676286,2025-01-27 16:43:56.843353,0 days 00:00:52.167067,-3.3196023568922186,GPSampler
12,-3.3192133309927434,5.0,0.1,0.5,2.75,COMPLETE,2025-01-27 16:43:58.316973,2025-01-27 16:44:50.873224,0 days 00:00:52.556251,-3.3192133309927434,GPSampler
13,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:44:51.329087,2025-01-27 16:45:42.976070,0 days 00:00:51.646983,-3.319827168001364,GPSampler
14,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:45:43.458054,2025-01-27 16:46:36.010824,0 days 00:00:52.552770,-3.319827168001364,GPSampler
15,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 16:46:36.486127,2025-01-27 16:47:29.240566,0 days 00:00:52.754439,-3.31938823614359,GPSampler
16,-3.3123826025551657,5.0,0.1,0.5,5.0,COMPLETE,2025-01-27 16:47:29.697032,2025-01-27 16:48:22.908515,0 days 00:00:53.211483,-3.3123826025551657,GPSampler
17,-3.304761454698495,5.0,1.0,0.5,1.0,COMPLETE,2025-01-27 16:48:23.363639,2025-01-27 16:48:56.328176,0 days 00:00:32.964537,-3.304761454698495,GPSampler
18,-3.318147585529309,5.0,0.2,0.5,2.25,COMPLETE,2025-01-27 16:48:56.817238,2025-01-27 16:49:41.017399,0 days 00:00:44.200161,-3.318147585529309,GPSampler
19,-3.287188001839612,5.0,1.0,0.1,5.0,COMPLETE,2025-01-27 16:49:41.458399,2025-01-27 16:50:12.564622,0 days 00:00:31.106223,-3.287188001839612,GPSampler
20,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:50:14.071328,2025-01-27 16:51:04.793847,0 days 00:00:50.722519,-3.319827168001364,GPSampler
21,-3.3180114304461594,4.5,0.1,0.5,2.25,COMPLETE,2025-01-27 16:51:05.255943,2025-01-27 16:51:51.917139,0 days 00:00:46.661196,-3.3180114304461594,GPSampler
22,-3.3102050123667275,1.0,1.0,0.5,2.5,COMPLETE,2025-01-27 16:51:52.393041,2025-01-27 16:52:47.417787,0 days 00:00:55.024746,-3.3102050123667275,GPSampler
23,-3.3041836934485778,1.0,1.0,0.5,5.0,COMPLETE,2025-01-27 16:52:47.867853,2025-01-27 16:53:46.412843,0 days 00:00:58.544990,-3.3041836934485778,GPSampler
24,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:53:46.857984,2025-01-27 16:54:37.413804,0 days 00:00:50.555820,-3.319827168001364,GPSampler
25,-3.305699192171354,1.0,0.1,0.5,5.0,COMPLETE,2025-01-27 16:54:37.882244,2025-01-27 16:55:25.096505,0 days 00:00:47.214261,-3.305699192171354,GPSampler
26,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:55:25.544505,2025-01-27 16:56:16.858636,0 days 00:00:51.314131,-3.319827168001364,GPSampler
27,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 16:56:17.322188,2025-01-27 16:57:08.797912,0 days 00:00:51.475724,-3.319827168001364,GPSampler
