number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood
0,-3.28769751083229,2.5,0.5,0.1,4.25,COMPLETE,2025-01-27 21:04:08.547376,2025-01-27 21:04:47.404519,0 days 00:00:38.857143,-3.28769751083229
1,-3.289601172431038,5.0,0.4,0.1,2.75,COMPLETE,2025-01-27 21:04:47.922963,2025-01-27 21:05:22.203073,0 days 00:00:34.280110,-3.289601172431038
2,-3.299183933152215,1.25,0.2,0.30000000000000004,1.75,COMPLETE,2025-01-27 21:05:22.707371,2025-01-27 21:06:08.041997,0 days 00:00:45.334626,-3.299183933152215
3,-3.309878695806123,1.25,1.0,0.5,2.75,COMPLETE,2025-01-27 21:06:08.497359,2025-01-27 21:07:14.213358,0 days 00:01:05.715999,-3.309878695806123
4,-3.291097184138742,3.25,1.0,0.2,3.0,COMPLETE,2025-01-27 21:07:14.720658,2025-01-27 21:07:57.566972,0 days 00:00:42.846314,-3.291097184138742
5,-3.298421200244257,1.75,0.2,0.30000000000000004,2.5,COMPLETE,2025-01-27 21:07:58.050097,2025-01-27 21:08:40.190241,0 days 00:00:42.140144,-3.298421200244257
6,-3.2933763661210156,1.5,0.7000000000000001,0.2,1.25,COMPLETE,2025-01-27 21:08:41.166779,2025-01-27 21:09:21.977793,0 days 00:00:40.811014,-3.2933763661210156
7,-3.293922414735948,3.25,0.30000000000000004,0.2,1.25,COMPLETE,2025-01-27 21:09:22.447602,2025-01-27 21:09:59.061974,0 days 00:00:36.614372,-3.293922414735948
8,-3.2939278314950093,2.75,0.9,0.30000000000000004,4.0,COMPLETE,2025-01-27 21:09:59.560628,2025-01-27 21:10:46.683032,0 days 00:00:47.122404,-3.2939278314950093
9,-3.306623597643947,1.75,0.1,0.4,2.0,COMPLETE,2025-01-27 21:10:47.954374,2025-01-27 21:11:31.160328,0 days 00:00:43.205954,-3.306623597643947
10,-3.3042842925100158,4.25,0.7000000000000001,0.5,5.0,COMPLETE,2025-01-27 21:11:31.655064,2025-01-27 21:12:23.714713,0 days 00:00:52.059649,-3.3042842925100158
11,-3.3135472998981883,1.0,0.1,0.5,2.0,COMPLETE,2025-01-27 21:12:24.181539,2025-01-27 21:13:10.615586,0 days 00:00:46.434047,-3.3135472998981883
12,-3.3108283586324276,1.0,0.7000000000000001,0.5,2.0,COMPLETE,2025-01-27 21:13:11.079985,2025-01-27 21:14:06.765719,0 days 00:00:55.685734,-3.3108283586324276
13,-3.304199837848204,1.0,0.7000000000000001,0.4,2.0,COMPLETE,2025-01-27 21:14:07.230474,2025-01-27 21:14:57.339590,0 days 00:00:50.109116,-3.304199837848204
14,-3.3078731177731124,2.25,0.6,0.5,3.75,COMPLETE,2025-01-27 21:14:57.811205,2025-01-27 21:15:52.142005,0 days 00:00:54.330800,-3.3078731177731124
15,-3.3007331257617523,2.0,0.8,0.4,1.0,COMPLETE,2025-01-27 21:15:52.664894,2025-01-27 21:16:32.725170,0 days 00:00:40.060276,-3.3007331257617523
16,-3.308759759425792,1.0,0.5,0.5,3.5,COMPLETE,2025-01-27 21:16:33.199159,2025-01-27 21:17:33.077259,0 days 00:00:59.878100,-3.308759759425792
17,-3.305608760553243,3.75,0.4,0.4,2.25,COMPLETE,2025-01-27 21:17:33.591191,2025-01-27 21:18:16.204412,0 days 00:00:42.613221,-3.305608760553243
18,-3.3093922784650243,2.25,0.6,0.5,1.5,COMPLETE,2025-01-27 21:18:16.673347,2025-01-27 21:19:00.061793,0 days 00:00:43.388446,-3.3093922784650243
19,-3.304292194157496,1.5,0.1,0.4,3.0,COMPLETE,2025-01-27 21:19:00.532945,2025-01-27 21:19:49.103109,0 days 00:00:48.570164,-3.304292194157496
20,-3.3096001504507644,1.0,0.8,0.5,2.25,COMPLETE,2025-01-27 21:19:49.562067,2025-01-27 21:20:47.445104,0 days 00:00:57.883037,-3.3096001504507644
21,-3.3083894707472847,1.5,1.0,0.5,3.25,COMPLETE,2025-01-27 21:20:48.518687,2025-01-27 21:21:50.356835,0 days 00:01:01.838148,-3.3083894707472847
22,-3.3104240710000803,1.25,0.9,0.5,2.5,COMPLETE,2025-01-27 21:21:50.824463,2025-01-27 21:22:49.805381,0 days 00:00:58.980918,-3.3104240710000803
23,-3.30423997412604,1.0,0.8,0.4,1.75,COMPLETE,2025-01-27 21:22:50.343288,2025-01-27 21:23:42.062903,0 days 00:00:51.719615,-3.30423997412604
24,-3.31016246373994,2.0,0.9,0.5,2.25,COMPLETE,2025-01-27 21:23:42.526347,2025-01-27 21:24:36.257903,0 days 00:00:53.731556,-3.31016246373994
25,-3.3040904974781697,1.5,0.9,0.4,1.75,COMPLETE,2025-01-27 21:24:36.746340,2025-01-27 21:25:27.000180,0 days 00:00:50.253840,-3.3040904974781697
26,-3.310158319830336,2.0,0.6,0.5,2.5,COMPLETE,2025-01-27 21:25:27.526138,2025-01-27 21:26:15.091418,0 days 00:00:47.565280,-3.310158319830336
27,-3.3032452283829232,1.25,0.8,0.4,2.5,COMPLETE,2025-01-27 21:26:15.576359,2025-01-27 21:27:12.111501,0 days 00:00:56.535142,-3.3032452283829232
28,-3.3111861134540987,2.75,0.4,0.5,1.5,COMPLETE,2025-01-27 21:27:12.628381,2025-01-27 21:27:56.953808,0 days 00:00:44.325427,-3.3111861134540987
29,-3.28930073624995,2.75,0.4,0.1,1.0,COMPLETE,2025-01-27 21:27:57.439360,2025-01-27 21:28:30.771770,0 days 00:00:33.332410,-3.28930073624995
30,-3.3128047975426544,4.0,0.30000000000000004,0.5,1.5,COMPLETE,2025-01-27 21:28:31.233384,2025-01-27 21:29:13.921327,0 days 00:00:42.687943,-3.3128047975426544
