likelihood,variables
7.475,0
6.975,1
6.8,2
7.304166667,3
5.875,4
6.608333333,5
6.25,6
5.930434783,7
3.547619048,8
5.5625,9
6.158333333,10
4.366666667,11
7.075,12
5.9875,13
6.85,14
6.25,15
6.5125,16
7.408333333,17
6.0,18
6.55,19
5.225,20
5.670833333,21
6.454166667,22
5.745833333,23
7.558333333,24
6.575,25
7.920833333,26
6.045833333,27
6.229166667,28
6.2875,29
5.6375,30
6.920833333,31
5.875,32
5.970833333,33
7.108333333,34
6.379166667,35
7.733333333,36
6.291666667,37
5.683333333,38
5.945454545,39
6.666666667,40
7.370833333,41
6.970833333,42
5.825,43
7.15,44
6.365217391,45
5.333333333,46
6.541666667,47
8.5625,48
5.941666667,49
6.8375,50
